13922030249,49580,......,SNGL,0,2013-01-11 14:56:25.704+0000,1,17,10971561394,49105,145,0
10692260844,26474,......,SNGL,0,2013-01-11 14:56:51.444+0000,1,17,11073315829,49001,166,0
13817641931,16464,......,SNGL,0,2013-01-11 14:56:29.363+0000,1,17,11248373514,61310,44,0
13036198691,20018,......,REP,0,2013-01-11 14:56:36.499+0000,1,17,13254996122,62491,309,0
12573703905,41802,......,REQ,0,2013-01-11 14:56:48.400+0000,1,17,11142871527,10788,131,0
11147089444,123,......,REQ,0,2013-01-11 14:56:43.828+0000,1,17,10187559163,123,76,0
11548812539,80,.AP.SF,REQ,0.417,2013-01-11 14:56:48.474+0000,10,6,12104091513,50412,1161,0
12296223039,80,.AP.SF,SNGL,0.293,2013-01-11 14:56:25.303+0000,5,6,13307777355,49282,732,0
11458677321,52855,......,SNGL,0,2013-01-11 14:56:23.407+0000,1,17,13438155753,49548,131,0
10328369653,61215,......,SNGL,0,2013-01-11 14:56:21.728+0000,1,17,10474810487,50469,131,0
11510011504,54317,......,SNGL,0,2013-01-11 14:56:44.748+0000,1,17,11111760671,62430,131,0
12933166042,63565,.AP.S.,REQ,0.86,2013-01-11 14:56:46.356+0000,4,6,14076700377,53021,240,0
12792790925,17239,.AP.SF,REP,0.6,2013-01-11 14:56:39.374+0000,10,6,12062916800,16166,2347,0
13459986650,48277,......,REQ,0,2013-01-11 14:56:39.186+0000,1,17,10722111646,19327,126,0
13998345748,56939,....S.,SNGL,9,2013-01-11 14:56:16.362+0000,3,6,13993335300,51087,144,0
14245239145,49799,.A....,REP,0,2013-01-11 14:56:50.304+0000,1,6,10617630279,5222,40,0
10842530912,80,.A...F,REQ,0.023,2013-01-11 14:56:41.871+0000,2,6,13479747065,50035,80,0
12519304956,411,......,SNGL,0,2013-01-11 14:56:17.374+0000,1,17,10722111646,19327,126,0
13022789962,3072,.A..S.,SNGL,0,2013-01-11 14:56:48.632+0000,1,6,11613992584,80,40,0
10182094123,55663,......,REQ,0,2013-01-11 14:56:14.553+0000,1,17,10722111646,19327,126,0
11197661454,27461,......,REQ,0,2013-01-11 14:56:45.723+0000,1,17,13218210776,13922,126,0
13320517932,443,.AP.SF,REQ,16.627,2013-01-11 14:56:02.976+0000,12,6,12640041751,3542,3156,0
11323686312,40019,......,REQ,0,2013-01-11 14:56:45.471+0000,1,17,10155285915,9869,59,0
11257851868,53,......,REQ,0,2013-01-11 14:56:47.966+0000,1,17,13964259841,35585,83,0
13008771261,443,.A....,REQ,0,2013-01-11 14:56:37.021+0000,1,6,14254984893,2954,40,0
10258200129,49735,.AP...,REQ,0.213,2013-01-11 14:56:36.657+0000,2,6,13405763426,15316,82,0
10114604435,28619,......,SNGL,0,2013-01-11 14:56:22.808+0000,1,17,14178155236,60681,131,0
11875386372,123,......,REQ,0,2013-01-11 14:56:42.364+0000,1,17,12462554197,123,76,0
11531306637,2041,.AP...,REP,60.031,2013-01-11 14:55:40.913+0000,5,6,10689897292,50159,332,0
13764850360,1264,......,REP,0,2013-01-11 14:56:38.869+0000,1,17,13369363569,52567,319,0
13271187534,80,.APRS.,REQ,13.228,2013-01-11 14:56:32.518+0000,6,6,12201302297,54579,1543,0
12308217730,11874,......,REQ,0.776,2013-01-11 14:56:42.527+0000,2,17,13473007588,59696,106,0
10717810132,1116,.AP...,REP,0,2013-01-11 14:56:37.974+0000,1,6,10281812105,443,81,0
11523730151,15331,.AP.SF,REQ,1.362,2013-01-11 14:56:48.189+0000,5,6,14076700377,53028,280,0
10055082325,53,......,SNGL,0,2013-01-11 14:56:28.636+0000,1,17,14121714687,59466,71,0
11222011260,80,.A..SF,REQ,5.837,2013-01-11 14:56:45.654+0000,4,6,10226746985,2080,172,0
12834225875,53,......,SNGL,0,2013-01-11 14:56:21.173+0000,1,17,14121714687,16431,89,0
13920400785,49590,.A...F,REP,15.937,2013-01-11 14:56:31.078+0000,3,6,10268170357,80,156,0
11057564324,51413,......,SNGL,0,2013-01-11 14:56:49.799+0000,1,17,14178155236,60681,131,0
11009062996,16464,......,SNGL,42.011,2013-01-11 14:56:08.204+0000,7,17,11248373514,61310,308,0
12329803862,2890,.AP.SF,REQ,22.043,2013-01-11 14:56:20.072+0000,32,6,10529182003,443,27571,0
11982528680,15798,......,SNGL,0,2013-01-11 14:56:43.478+0000,1,17,14178155236,60681,131,0
10077691739,35885,......,REQ,0,2013-01-11 14:56:42.677+0000,1,17,12377527025,45969,131,0
10592966938,53758,.AP.SF,SNGL,5.915,2013-01-11 14:56:20.602+0000,25,6,11474897211,443,23417,0
10194264528,6890,......,REQ,0,2013-01-11 14:56:46.733+0000,1,17,13218210776,13922,126,0
10875784067,16464,......,SNGL,0.058,2013-01-11 14:56:51.309+0000,3,17,11248373514,61310,132,0
10835584423,443,.AP.S.,SNGL,1.291,2013-01-11 14:56:26.718+0000,7,6,10761286036,49494,972,0
12531540040,53,......,SNGL,0,2013-01-11 14:56:34.274+0000,1,17,10632408432,4740,74,0
14056972270,53,......,SNGL,0,2013-01-11 14:56:28.003+0000,1,17,11277363161,25978,73,0
11781321369,49001,....S.,SNGL,9.006,2013-01-11 14:56:13.406+0000,3,6,13002987021,50117,152,0
13223862657,58428,......,REQ,0.153,2013-01-11 14:56:45.060+0000,3,17,10971561394,49105,222,0
12907770119,11482,......,REQ,0,2013-01-11 14:56:43.208+0000,1,17,12409480330,17973,319,0
11945923982,51599,......,REQ,0,2013-01-11 14:56:15.704+0000,1,17,10722111646,19327,126,0
12413561189,55269,.AP.SF,REQ,14.149,2013-01-11 14:56:36.268+0000,31,6,10856305685,80,11468,0
10439611157,49155,......,REP,0,2013-01-11 14:56:46.382+0000,1,17,11035267675,57094,131,0
11644806879,49725,......,SNGL,0,2013-01-11 14:56:35.841+0000,1,17,13631678173,14537,55,0
12061342702,10050,.AP.SF,SNGL,0,2013-01-11 14:56:23.806+0000,5,6,13807610796,42835,289,0
12170778642,769,......,SNGL,6.025,2013-01-11 14:56:30.589+0000,2,1,10549344490,0,330,40
10610042784,0,......,SNGL,0,2013-01-11 14:56:37.937+0000,1,47,10157216922,0,48,0
12898507121,80,.A...F,REQ,0.066,2013-01-11 14:56:39.356+0000,2,6,11464045952,50350,104,0
11079250566,60822,.AP.SF,REQ,0.554,2013-01-11 14:56:02.422+0000,10,6,12257204819,1180,9038,0
11179518768,2048,......,SNGL,0,2013-01-11 14:56:37.423+0000,1,1,10891929831,0,32,32
12318316356,80,.AP.SF,SNGL,0.463,2013-01-11 14:56:26.566+0000,6,6,14112172277,53103,1707,0
13300895804,80,.AP.SF,SNGL,0.238,2013-01-11 14:56:23.031+0000,6,6,13023025598,4426,405,0
14132862191,80,.APRS.,SNGL,15.479,2013-01-11 14:56:18.304+0000,22,6,12781109189,50564,2197,0
11141674206,16464,......,SNGL,0.074,2013-01-11 14:56:33.517+0000,3,17,11248373514,61310,132,0
10950169350,0,......,SNGL,0,2013-01-11 14:56:45.958+0000,1,1,11483241667,0,80,32
10214383902,40392,.AP.SF,SNGL,11.349,2013-01-11 14:56:11.275+0000,30,6,10177524467,995,15268,0
11343380251,36670,......,SNGL,0,2013-01-11 14:56:41.118+0000,1,17,13438155753,49548,131,0
11700458656,769,......,SNGL,0,2013-01-11 14:56:46.761+0000,1,1,11897797481,0,56,0
14093690031,2982,.AP.SF,REP,5.227,2013-01-11 14:56:43.921+0000,5,6,12745201967,80,1550,0
11638826432,35759,......,SNGL,0,2013-01-11 14:56:21.245+0000,1,17,10356052728,12206,131,0
14159810542,33500,......,REP,0,2013-01-11 14:56:51.017+0000,1,17,10187559163,123,76,0
12345641344,80,...R..,SNGL,0,2013-01-11 14:56:30.894+0000,1,6,10981894557,3072,40,0
12342460834,46793,......,SNGL,75.109,2013-01-11 14:55:30.250+0000,7,17,12867269575,39293,346,0
11236865938,55483,.A....,REP,0,2013-01-11 14:56:39.788+0000,1,6,11137595561,80,52,0
10167133306,51413,......,SNGL,0,2013-01-11 14:56:26.059+0000,1,17,11035267675,57094,131,0
14065447568,59803,......,SNGL,0,2013-01-11 14:56:24.439+0000,1,17,11848401995,53,215,0
11708753774,49001,......,SNGL,0,2013-01-11 14:56:28.580+0000,1,17,10971561394,49105,215,0
